"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	42	55601	75.5	67.5
	"Baldwin County, AL"	"01003"	206	218022	94.5	65.7
	"Barbour County, AL"	"01005"	31	24881	124.6	90.8
	"Bibb County, AL"	"01007"	21	22400	93.8	78.2
	"Blount County, AL"	"01009"	30	57840	51.9	41.8
	"Bullock County, AL"	"01011"	10	10138	Unreliable	Unreliable
	"Butler County, AL"	"01013"	28	19680	142.3	98.2
	"Calhoun County, AL"	"01015"	134	114277	117.3	94.7
	"Chambers County, AL"	"01017"	28	33615	83.3	60.5
	"Cherokee County, AL"	"01019"	19	26032	Unreliable	Unreliable
	"Chilton County, AL"	"01021"	40	44153	90.6	69.9
	"Choctaw County, AL"	"01023"	13	12841	Unreliable	Unreliable
	"Clarke County, AL"	"01025"	29	23920	121.2	79.5
	"Clay County, AL"	"01027"	14	13275	Unreliable	Unreliable
	"Cleburne County, AL"	"01029"	17	14987	Unreliable	Unreliable
	"Coffee County, AL"	"01031"	39	51909	75.1	61.1
	"Colbert County, AL"	"01033"	45	54762	82.2	54.8
	"Conecuh County, AL"	"01035"	19	12277	Unreliable	Unreliable
	"Coosa County, AL"	"01037"	13	10715	Unreliable	Unreliable
	"Covington County, AL"	"01039"	84	36986	227.1	144.0
	"Crenshaw County, AL"	"01041"	17	13824	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	72	83442	86.3	70.2
	"Dale County, AL"	"01045"	33	48956	67.4	55.8
	"Dallas County, AL"	"01047"	50	38310	130.5	104.5
	"DeKalb County, AL"	"01049"	59	71385	82.7	68.3
	"Elmore County, AL"	"01051"	64	81887	78.2	74.2
	"Escambia County, AL"	"01053"	47	36748	127.9	99.9
	"Etowah County, AL"	"01055"	93	102501	90.7	66.3
	"Fayette County, AL"	"01057"	26	16433	158.2	109.5
	"Franklin County, AL"	"01059"	19	31363	Unreliable	Unreliable
	"Geneva County, AL"	"01061"	29	26314	110.2	76.7
	"Hale County, AL"	"01065"	15	14726	Unreliable	Unreliable
	"Henry County, AL"	"01067"	15	17209	Unreliable	Unreliable
	"Houston County, AL"	"01069"	79	104722	75.4	59.5
	"Jackson County, AL"	"01071"	57	51736	110.2	80.6
	"Jefferson County, AL"	"01073"	654	659300	99.2	81.8
	"Lauderdale County, AL"	"01077"	90	92387	97.4	67.0
	"Lawrence County, AL"	"01079"	25	32957	75.9	57.9
	"Lee County, AL"	"01081"	118	163941	72.0	85.1
	"Limestone County, AL"	"01083"	81	96174	84.2	78.9
	"Lowndes County, AL"	"01085"	18	9974	Unreliable	Unreliable
