"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Baldwin County, AL"	"01003"	38	179406	21.2	20.0
	"Blount County, AL"	"01009"	10	57341	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	22	118363	18.6	17.7
	"Chilton County, AL"	"01021"	12	43484	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	15	80351	Unreliable	Unreliable
	"Dale County, AL"	"01045"	13	49854	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	11	70864	Unreliable	Unreliable
	"Elmore County, AL"	"01051"	13	78632	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	14	104239	Unreliable	Unreliable
	"Jefferson County, AL"	"01073"	105	658441	15.9	15.2
	"Lee County, AL"	"01081"	11	138566	Unreliable	Unreliable
	"Madison County, AL"	"01089"	37	330856	11.2	10.9
	"Marshall County, AL"	"01095"	13	92213	Unreliable	Unreliable
	"Mobile County, AL"	"01097"	59	411994	14.3	14.6
	"Montgomery County, AL"	"01101"	25	227607	11.0	11.1
	"Morgan County, AL"	"01103"	22	118954	18.5	18.1
	"St. Clair County, AL"	"01115"	14	83009	Unreliable	Unreliable
	"Shelby County, AL"	"01117"	17	192708	Unreliable	Unreliable
	"Talladega County, AL"	"01121"	14	82674	Unreliable	Unreliable
	"Tuscaloosa County, AL"	"01125"	28	192792	14.5	14.9
	"Walker County, AL"	"01127"	11	67347	Unreliable	Unreliable
	"Anchorage Borough, AK"	"02020"	43	287677	14.9	14.4
	"Bethel Census Area, AK"	"02050"	10	16860	Unreliable	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	13	95238	Unreliable	Unreliable
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing	Missing
	"Kenai Peninsula Borough, AK"	"02122"	12	54796	Unreliable	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	18	86885	Unreliable	Unreliable
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing	Missing
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing	Missing
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing	Missing
	"Apache County, AZ"	"04001"	16	71008	Unreliable	Unreliable
	"Cochise County, AZ"	"04003"	27	130081	20.8	21.0
	"Coconino County, AZ"	"04005"	33	133477	24.7	22.7
	"Gila County, AZ"	"04007"	13	53561	Unreliable	Unreliable
	"La Paz County, AZ"	"04012"	10	20514	Unreliable	Unreliable
	"Maricopa County, AZ"	"04013"	533	3803779	14.0	14.3
	"Mohave County, AZ"	"04015"	70	199696	35.1	33.5
	"Navajo County, AZ"	"04017"	24	107571	22.3	23.9
	"Pima County, AZ"	"04019"	174	975580	17.8	17.3
	"Pinal County, AZ"	"04021"	61	349830	17.4	19.1
	"Yavapai County, AZ"	"04025"	75	211172	35.5	32.9
	"Yuma County, AZ"	"04027"	24	193714	12.4	12.5
	"Baxter County, AR"	"05005"	12	41561	Unreliable	Unreliable
	"Benton County, AR"	"05007"	29	216620	13.4	14.2
	"Craighead County, AR"	"05031"	11	95482	Unreliable	Unreliable
	"Faulkner County, AR"	"05045"	13	110813	Unreliable	Unreliable
	"Garland County, AR"	"05051"	29	95840	30.3	29.3
	"Lonoke County, AR"	"05085"	11	67481	Unreliable	Unreliable
	"Pulaski County, AR"	"05119"	39	380053	10.3	10.5
	"Saline County, AR"	"05125"	18	105362	Unreliable	Unreliable
	"Sebastian County, AR"	"05131"	14	125116	Unreliable	Unreliable
	"Washington County, AR"	"05143"	31	199774	15.5	15.8
	"White County, AR"	"05145"	20	76284	26.2	26.7
	"Alameda County, CA"	"06001"	150	1498539	10.0	9.7
	"Amador County, CA"	"06005"	10	38238	Unreliable	Unreliable
	"Butte County, CA"	"06007"	41	219777	18.7	18.4
	"Contra Costa County, CA"	"06013"	116	1037890	11.2	10.7
	"El Dorado County, CA"	"06017"	36	180455	19.9	17.8
	"Fresno County, CA"	"06019"	69	921478	7.5	7.9
	"Humboldt County, CA"	"06023"	33	133744	24.7	22.1
	"Imperial County, CA"	"06025"	10	172008	Unreliable	Unreliable
	"Kern County, CA"	"06029"	93	830137	11.2	12.0
	"Kings County, CA"	"06031"	10	152278	Unreliable	Unreliable
	"Lake County, CA"	"06033"	23	64413	35.7	33.2
	"Los Angeles County, CA"	"06037"	817	9787400	8.3	8.3
	"Marin County, CA"	"06041"	35	250862	14.0	12.2
	"Mendocino County, CA"	"06045"	22	87722	25.1	24.8
	"Merced County, CA"	"06047"	29	252302	11.5	13.0
	"Monterey County, CA"	"06053"	36	410263	8.8	8.7
	"Napa County, CA"	"06055"	11	135280	Unreliable	Unreliable
	"Nevada County, CA"	"06057"	22	98591	22.3	22.3
	"Orange County, CA"	"06059"	261	2987177	8.7	8.6
	"Placer County, CA"	"06061"	55	343810	16.0	15.0
	"Riverside County, CA"	"06065"	226	2146725	10.5	10.7
	"Sacramento County, CA"	"06067"	164	1408601	11.6	11.3
	"San Bernardino County, CA"	"06071"	249	2013960	12.4	12.9
	"San Diego County, CA"	"06073"	375	3061203	12.3	12.0
	"San Francisco County, CA"	"06075"	100	801922	12.5	11.0
	"San Joaquin County, CA"	"06077"	60	677736	8.9	9.3
	"San Luis Obispo County, CA"	"06079"	45	268145	16.8	15.1
	"San Mateo County, CA"	"06081"	65	713617	9.1	8.6
	"Santa Barbara County, CA"	"06083"	58	420356	13.8	13.4
	"Santa Clara County, CA"	"06085"	154	1765137	8.7	8.6
	"Santa Cruz County, CA"	"06087"	38	260009	14.6	14.7
	"Shasta County, CA"	"06089"	38	177279	21.4	19.8
	"Siskiyou County, CA"	"06093"	14	44788	Unreliable	Unreliable
	"Solano County, CA"	"06095"	42	410290	10.2	10.4
	"Sonoma County, CA"	"06097"	66	479479	13.8	12.6
	"Stanislaus County, CA"	"06099"	60	511536	11.7	12.5
	"Sutter County, CA"	"06101"	12	94366	Unreliable	Unreliable
	"Tulare County, CA"	"06107"	39	436987	8.9	9.6
	"Tuolumne County, CA"	"06109"	17	55845	Unreliable	Unreliable
	"Ventura County, CA"	"06111"	101	815130	12.4	12.1
	"Yolo County, CA"	"06113"	15	199791	Unreliable	Unreliable
	"Adams County, CO"	"08001"	72	435700	16.5	17.1
	"Arapahoe County, CO"	"08005"	102	563161	18.1	18.5
	"Boulder County, CO"	"08013"	62	293190	21.1	20.5
	"Denver County, CO"	"08031"	105	589011	17.8	18.1
	"Douglas County, CO"	"08035"	34	281386	12.1	13.0
	"El Paso County, CO"	"08041"	133	608061	21.9	22.5
	"Fremont County, CO"	"08043"	17	46871	Unreliable	Unreliable
	"Garfield County, CO"	"08045"	13	57089	Unreliable	Unreliable
	"Jefferson County, CO"	"08059"	98	531961	18.4	17.5
	"Larimer County, CO"	"08069"	56	296696	18.9	18.0
